Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,15343.0620043106
Other small states,OSS,"Population, total",SP.POP.TOTL,31360407
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,13778.2935135186
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2493696
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,4264.66741440106
Pakistan,PAK,"Population, total",SP.POP.TOTL,216565318
Pakistan,PAK,GDP per capita (current US$),NY.GDP.PCAP.CD,1284.70204090039
Palau,PLW,"Population, total",SP.POP.TOTL,18008
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,14901.9835314079
Panama,PAN,"Population, total",SP.POP.TOTL,4246439
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,15731.0160348471
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,8776109
Papua New Guinea,PNG,GDP per capita (current US$),NY.GDP.PCAP.CD,2829.17030896837
Paraguay,PRY,"Population, total",SP.POP.TOTL,7044636
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5414.79913793258
Peru,PER,"Population, total",SP.POP.TOTL,32510453
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6977.69578355382
Philippines,PHL,"Population, total",SP.POP.TOTL,108116615
Philippines,PHL,GDP per capita (current US$),NY.GDP.PCAP.CD,3485.08421835861
Poland,POL,"Population, total",SP.POP.TOTL,37970874
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,15692.5070255563
Portugal,PRT,"Population, total",SP.POP.TOTL,10269417
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,23252.0585181211
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1112914457
Post-demographic dividend,PST,GDP per capita (current US$),NY.GDP.PCAP.CD,45618.8861568374
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,944902749
Pre-demographic dividend,PRE,GDP per capita (current US$),NY.GDP.PCAP.CD,1485.64958462252
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3193694
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,32873.7192730424
Qatar,QAT,"Population, total",SP.POP.TOTL,2832067
Qatar,QAT,GDP per capita (current US$),NY.GDP.PCAP.CD,62088.0618276987
Romania,ROU,"Population, total",SP.POP.TOTL,19356544
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,12919.5296441908
Russian Federation,RUS,"Population, total",SP.POP.TOTL,144373535
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,11584.9953826104
Rwanda,RWA,"Population, total",SP.POP.TOTL,12626950
Rwanda,RWA,GDP per capita (current US$),NY.GDP.PCAP.CD,820.025241658159
Samoa,WSM,"Population, total",SP.POP.TOTL,197097
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4324.01401840457
San Marino,SMR,"Population, total",SP.POP.TOTL,33860
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,215056
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1946.64361370086
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,34268528
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,23139.7986561214
Senegal,SEN,"Population, total",SP.POP.TOTL,16296364
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1446.83096499408
Serbia,SRB,"Population, total",SP.POP.TOTL,6944975
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,7411.83611634734
Seychelles,SYC,"Population, total",SP.POP.TOTL,97625
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,17448.2702926831
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7813215
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,527.533634399111
Singapore,SGP,"Population, total",SP.POP.TOTL,5703569
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,65233.2824392302
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,40733
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5454073
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,19266.2754990139
Slovenia,SVN,"Population, total",SP.POP.TOTL,2087946
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,25946.1821852127
Small states,SST,"Population, total",SP.POP.TOTL,41255486
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,12615.4658503025
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,669823
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2373.63247042576
Somalia,SOM,"Population, total",SP.POP.TOTL,15442905
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
South Africa,ZAF,"Population, total",SP.POP.TOTL,58558270
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6001.40081394888
South Asia,SAS,"Population, total",SP.POP.TOTL,1835776742
South Asia,SAS,GDP per capita (current US$),NY.GDP.PCAP.CD,1956.57592140193
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1835776742
South Asia (IDA & IBRD),TSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1956.57592140193
South Sudan,SSD,"Population, total",SP.POP.TOTL,11062113
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Spain,ESP,"Population, total",SP.POP.TOTL,47076781
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,29600.3782526602
Sri Lanka,LKA,"Population, total",SP.POP.TOTL,21803000
Sri Lanka,LKA,GDP per capita (current US$),NY.GDP.PCAP.CD,3853.08369288942
St. Kitts and Nevis,KNA,"Population, total",SP.POP.TOTL,52834
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,19934.9745323929
St. Lucia,LCA,"Population, total",SP.POP.TOTL,182790
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,11611.4154473966
St. Martin (French part),MAF,"Population, total",SP.POP.TOTL,38002
St. Martin (French part),MAF,GDP per capita (current US$),NY.GDP.PCAP.CD,..
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,110589
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,7457.50950382514
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,1106957898
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1596.21373429876
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,1105594562
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1583.92606462045
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,1106957898
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP per capita (current US$),NY.GDP.PCAP.CD,1596.21373429876
Sudan,SDN,"Population, total",SP.POP.TOTL,42813238
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,441.505603374484
Suriname,SUR,"Population, total",SP.POP.TOTL,581363
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,6359.83361442737
Sweden,SWE,"Population, total",SP.POP.TOTL,10285453
Sweden,SWE,GDP per capita (current US$),NY.GDP.PCAP.CD,51615.0206514946
Switzerland,CHE,"Population, total",SP.POP.TOTL,8574832
Switzerland,CHE,GDP per capita (current US$),NY.GDP.PCAP.CD,81993.72712595
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,17070135
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Tajikistan,TJK,"Population, total",SP.POP.TOTL,9321018
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,870.787589323223
Tanzania,TZA,"Population, total",SP.POP.TOTL,58005463
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,1122.12181047515
Thailand,THA,"Population, total",SP.POP.TOTL,69625582
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,7806.74221105532
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1293119
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,1560.50982160188
Togo,TGO,"Population, total",SP.POP.TOTL,8082366
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,679.290249091295
Tonga,TON,"Population, total",SP.POP.TOTL,104494
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4903.15290276599
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1394973
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,17397.9817601543
Tunisia,TUN,"Population, total",SP.POP.TOTL,11694719
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3317.4535932122
Turkey,TUR,"Population, total",SP.POP.TOTL,83429615
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9126.56134585014
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5942089
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,38191
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,31353.3293184258
Tuvalu,TUV,"Population, total",SP.POP.TOTL,11646
Tuvalu,TUV,GDP per capita (current US$),NY.GDP.PCAP.CD,4059.02999569444
Uganda,UGA,"Population, total",SP.POP.TOTL,44269594
Uganda,UGA,GDP per capita (current US$),NY.GDP.PCAP.CD,794.341077917102
Ukraine,UKR,"Population, total",SP.POP.TOTL,44385155
Ukraine,UKR,GDP per capita (current US$),NY.GDP.PCAP.CD,3659.03131229487
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,9770529
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,43103.3230583165
United Kingdom,GBR,"Population, total",SP.POP.TOTL,66834405
United Kingdom,GBR,GDP per capita (current US$),NY.GDP.PCAP.CD,42330.117537005
United States,USA,"Population, total",SP.POP.TOTL,328239523
United States,USA,GDP per capita (current US$),NY.GDP.PCAP.CD,65297.517508274
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2855862780
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,9036.76525522061
Uruguay,URY,"Population, total",SP.POP.TOTL,3461734
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,16190.126957465
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,33580650
Uzbekistan,UZB,GDP per capita (current US$),NY.GDP.PCAP.CD,1724.8411344137
Vanuatu,VUT,"Population, total",SP.POP.TOTL,299882
Vanuatu,VUT,GDP per capita (current US$),NY.GDP.PCAP.CD,3115.35862043261
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,28515829
"Venezuela, RB",VEN,GDP per capita (current US$),NY.GDP.PCAP.CD,..
Vietnam,VNM,"Population, total",SP.POP.TOTL,96462106
Vietnam,VNM,GDP per capita (current US$),NY.GDP.PCAP.CD,2715.27603640721
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,106631
Virgin Islands (U.S.),VIR,GDP per capita (current US$),NY.GDP.PCAP.CD,..
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4685306
West Bank and Gaza,PSE,GDP per capita (current US$),NY.GDP.PCAP.CD,..
World,WLD,"Population, total",SP.POP.TOTL,7673533974
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,11441.7328647669
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,29161922
"Yemen, Rep.",YEM,GDP per capita (current US$),NY.GDP.PCAP.CD,774.334489816721
Zambia,ZMB,"Population, total",SP.POP.TOTL,17861030
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,1305.06325350544
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,14645468
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,1463.98591018054
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/16/2020,,,,
